"Time (ps)"	"Channel 1 - Count rate (counts/s)"	"Channel 2 - Count rate (counts/s)"
17200000000000	668100	882450
17220000000000	669100	882400
17240000000000	670500	877250
17260000000000	666100	878700
17280000000000	680300	891600
17300000000000	674000	888700
17320000000000	672900	890000
17340000000000	674750	888900
17360000000000	694150	914850
17380000000000	673050	881200
17400000000000	676050	889700
17420000000000	674750	872800
17440000000000	661100	874400
17460000000000	674900	870300
17480000000000	669950	891400
17500000000000	660950	874550
17520000000000	672350	891800
17540000000000	667900	874850
17560000000000	662250	871200
17580000000000	668250	875050
17600000000000	662950	875500
17620000000000	661850	880300
17640000000000	672000	875200
17660000000000	654500	885050
17680000000000	666650	893250
17700000000000	667750	888100
17720000000000	673300	904000
17740000000000	680100	894450
17760000000000	697900	931250
17780000000000	700650	917950
17800000000000	671450	896300
17820000000000	681500	896900
17840000000000	673650	898900
17860000000000	671350	895200
17880000000000	673100	887750
17900000000000	676350	892700
17920000000000	671850	884550
17940000000000	677650	895300
17960000000000	668400	884100
17980000000000	664700	879600
18000000000000	670350	881700
18020000000000	674700	876750
18040000000000	676900	904200
18060000000000	663650	887200
18080000000000	678750	899400
18100000000000	684350	900850
18120000000000	681600	889650
18140000000000	674500	901850
18160000000000	683300	901150
18180000000000	680900	888200
18200000000000	669850	898150
18220000000000	683050	913700
18240000000000	681250	896800
18260000000000	687750	894000
18280000000000	677800	908500
18300000000000	672250	896550
18320000000000	662600	884500
18340000000000	650900	866550
18360000000000	656250	858800
18380000000000	672700	886300
18400000000000	664450	875900
18420000000000	661800	875400
18440000000000	658550	877850
18460000000000	668550	883250
18480000000000	665100	880600
18500000000000	671000	883850
18520000000000	690250	894850
18540000000000	690800	916300
18560000000000	691400	928000
18580000000000	675500	879900
18600000000000	670450	880100
18620000000000	667400	874350
18640000000000	660650	872250
18660000000000	671350	875900
18680000000000	661200	866900
18700000000000	659050	865700
18720000000000	643300	870900
18740000000000	654100	862800
18760000000000	658400	863300
18780000000000	660100	871250
18800000000000	648750	859550
18820000000000	656400	856700
18840000000000	661400	888200
18860000000000	666350	876200
18880000000000	665050	885650
18900000000000	654550	869300
18920000000000	651600	861700
18940000000000	666350	875950
18960000000000	679450	889600
18980000000000	660550	871200
19000000000000	664950	882950
19020000000000	681350	892250
19040000000000	653850	865700
19060000000000	668000	879500
19080000000000	666550	885100
19100000000000	647550	858950
19120000000000	652550	865550
19140000000000	651600	855750
19160000000000	646550	864550
19180000000000	647800	872700
19200000000000	651000	853200
19220000000000	655850	860850
19240000000000	678250	898250
19260000000000	673600	888700
19280000000000	687800	919150
19300000000000	688450	903500
19320000000000	666450	891350
19340000000000	689700	896000
19360000000000	663250	873650
19380000000000	667150	877300
19400000000000	681700	888450
19420000000000	680350	887650
19440000000000	666550	876500
19460000000000	663450	879650
19480000000000	674800	882100
19500000000000	670150	884600
19520000000000	685550	906200
19540000000000	679900	899800
19560000000000	669850	881050
19580000000000	663950	885800
19600000000000	666300	882000
19620000000000	666650	878700
19640000000000	669000	881150
19660000000000	655350	869350
19680000000000	670950	883100
19700000000000	669500	883250
19720000000000	673350	885500
19740000000000	655650	865050
19760000000000	666300	877000
19780000000000	665600	879500
19800000000000	654650	881150
19820000000000	662500	866050
19840000000000	656000	860900
19860000000000	654900	868100
19880000000000	645550	863000
19900000000000	650700	862750
19920000000000	648400	840550
19940000000000	668250	869250
19960000000000	651350	874850
19980000000000	661000	874300
20000000000000	681850	880400
20020000000000	666450	878950
20040000000000	665000	886350
20060000000000	674300	891600
20080000000000	665200	880250
20100000000000	683000	890200
20120000000000	688650	893750
20140000000000	654450	874650
20160000000000	672750	883700
20180000000000	654350	882100
20200000000000	665700	876600
20220000000000	667900	874900
